Variant;Variant ID;Language;Feature name;Feature group;Position;Image;Description;Page title;Meta keywords;Meta description;URL;Storefront feature name;AB Custom H1;AB SEO Filters: SEO variant
"Turquoise";"1333";"en";"Color - Single Product";"";"0";"";"";"";"";"";"";"Color";"";""
"Violet";"1334";"en";"Color - Single Product";"";"0";"";"";"";"";"";"";"Color";"";""
"Lime";"1335";"en";"Color - Single Product";"";"0";"";"";"";"";"";"";"Color";"";""
"Indigo";"1336";"en";"Color - Single Product";"";"0";"";"";"";"";"";"";"Color";"";""
"PowderBlue";"1337";"en";"Color - Single Product";"";"0";"";"";"";"";"";"";"Color";"";""
"Chocolate";"1338";"en";"Color - Single Product";"";"0";"";"";"";"";"";"";"Color";"";""
"Beige";"1339";"en";"Color - Single Product";"";"0";"";"";"";"";"";"";"Color";"";""
"Coral";"1340";"en";"Color - Single Product";"";"0";"";"";"";"";"";"";"Color";"";""
"Like New";"1341";"en";"Condition";"";"20";"";"";"";"";"";"";"Condition";"";""
"Brand new";"1342";"en";"Condition";"";"10";"";"";"";"";"";"";"Condition";"";""
"Used";"1343";"en";"Condition";"";"30";"";"";"";"";"";"";"Condition";"";""
