CategoryCode;CategoryPath;Language;Store;Vendor categories fee - Is2or - with the commission;Vendor categories fee - Is2or - Free;Status
"531";"Supermarket///Retail///Pet Products";"en";"Is2or";"";"14.10";"A"
"532";"Supermarket///Retail///Seasonal Products";"en";"Is2or";"";"15.60";"A"
"535";"Automotive///Car Parts///Engine Parts";"en";"Is2or";"";"12.00";"A"
"536";"Automotive///Car Parts///Brake Systems";"en";"Is2or";"";"12.00";"A"
"537";"Automotive///Car Parts///Transmission Parts";"en";"Is2or";"";"12.00";"A"
"538";"Automotive///Car Parts///Electrical Parts";"en";"Is2or";"";"12.00";"A"
"539";"Automotive///Car Parts///Filters & Fluids";"en";"Is2or";"";"12.00";"A"
"540";"Automotive///Car Parts///Body Parts";"en";"Is2or";"";"12.00";"A"
"541";"Automotive///Auto Accessories///Care Products";"en";"Is2or";"";"11.50";"A"
"542";"Automotive///Auto Accessories///Tools & Equipment";"en";"Is2or";"";"11.50";"A"
"543";"Automotive///Auto Accessories///Car Electronics";"en";"Is2or";"";"11.50";"A"
"544";"Automotive///Auto Accessories///Interior Accessories";"en";"Is2or";"";"11.50";"A"
"545";"Automotive///Auto Accessories///Exterior Accessories";"en";"Is2or";"";"11.50";"A"
"546";"Automotive///Auto Accessories///Maintenance Items";"en";"Is2or";"";"11.50";"A"
"547";"Electronics & Digital///Digital Products///E-Learning";"en";"Is2or";"";"6.10";"A"
"548";"Electronics & Digital///Digital Products///Art Gallery";"en";"Is2or";"";"6.10";"A"
"549";"Fresh & Local///Fruits from farms///Fruites";"en";"Is2or";"";"10.50";"A"
"894";"Plants & Flowers///Fresh Flowers///Bouquets";"en";"Is2or";"";"";"A"
"895";"Plants & Flowers///Fresh Flowers///Single Stems";"en";"Is2or";"";"";"A"
"896";"Plants & Flowers///Fresh Flowers///Flower Arrangements";"en";"Is2or";"";"";"A"
"898";"Plants & Flowers///Potted Plants///Indoor Plants";"en";"Is2or";"";"";"A"
"900";"Plants & Flowers///Potted Plants///Outdoor Plants";"en";"Is2or";"";"";"A"
"901";"Plants & Flowers///Potted Plants///Succulents & Cacti";"en";"Is2or";"";"";"A"
"903";"Plants & Flowers///Gardening Supplies///Tools & Equipment";"en";"Is2or";"";"";"A"
"904";"Plants & Flowers///Gardening Supplies///Soils & Fertilizers";"en";"Is2or";"";"";"A"
"905";"Plants & Flowers///Gardening Supplies///Pots & Planters";"en";"Is2or";"";"";"A"
